image,mode,gate,theta,dists,lpips,psnr,ssim,rms,linf,clip_fraction,degenerate_fraction,plane_init,n_params
task_obj_swap_rand_mask_417469,plane,texture,1.1,0.058031,0.23806,25.4127,0.943155,0.053625,0.84978,0.016129,0.009115,aligned,1560576
task_obj_swap_rand_mask_417469,plane,texture,1.6,0.116299,0.3415,22.4756,0.871413,0.0752,0.996078,0.018959,0.009115,aligned,1560576
task_obj_swap_rand_mask_417469,plane,texture,2.2,0.183111,0.428825,20.2406,0.753553,0.097268,1.0,0.020761,0.009115,aligned,1560576
task_obj_swap_rand_mask_417469,plane,texture,3.141592653589793,0.24489,0.489667,18.3149,0.57345,0.121411,1.0,0.022737,0.009115,aligned,1560576
task_obj_swap_rand_mask_417469,plane,band,0.1,0.001866,0.01428,40.1263,0.998625,0.009855,0.117429,0.008584,0.009115,aligned,1560576
task_obj_swap_rand_mask_417469,plane,band,0.2,0.011925,0.056576,34.1744,0.994499,0.019556,0.225497,0.011033,0.009115,aligned,1560576
task_obj_swap_rand_mask_417469,plane,band,0.4,0.055026,0.163759,28.2857,0.977694,0.038522,0.460745,0.015661,0.009115,aligned,1560576
task_obj_swap_rand_mask_417469,plane,band,0.7,0.142094,0.315445,23.6322,0.928324,0.065825,0.811371,0.021538,0.009115,aligned,1560576
task_obj_swap_rand_mask_417469,plane,band,1.1,0.27268,0.485143,20.0408,0.808162,0.099532,0.995123,0.025509,0.009115,aligned,1560576
task_obj_swap_rand_mask_417469,plane,band,1.6,0.373851,0.584026,17.3947,0.584438,0.134978,1.0,0.026259,0.009115,aligned,1560576
task_obj_swap_rand_mask_417469,plane,band,2.2,0.368872,0.59248,15.698,0.335388,0.164096,1.0,0.025684,0.009115,aligned,1560576
task_obj_swap_rand_mask_417469,plane,band,3.141592653589793,0.320787,0.482058,14.8733,0.188865,0.180442,1.0,0.024771,0.009115,aligned,1560576
